"Handle","Title","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price"
"the-amara-lace-lace-top-corset-black","The amara lace top corset - Black","Size","XS (4-6)","Color","Black","AMARA-BLACK-CRST-BLK-XS","35.00"
"the-amara-lace-lace-top-corset-black","The amara lace top corset - Black","Size","S (6-8)","Color","Black","AMARA-BLACK-CRST-BLK-S","35.00"
"the-amara-lace-lace-top-corset-black","The amara lace top corset - Black","Size","M (8-10)","Color","Black","AMARA-BLACK-CRST-BLK-M","35.00"
"the-amara-lace-lace-top-corset-black","The amara lace top corset - Black","Size","L (10-12)","Color","Black","AMARA-BLACK-CRST-BLK-L","35.00"
"the-amara-lace-lace-top-corset-black","The amara lace top corset - Black","Size","XL (12-14)","Color","Black","AMARA-BLACK-CRST-BLK-XL","35.00"
"the-amara-lace-lace-top-corset-black"," - Black","","","","","",""
"the-amara-lace-lace-top-corset-black"," - Black","","","","","",""
"the-amara-lace-lace-top-corset-black"," - Black","","","","","",""
"the-amara-lace-lace-top-corset-black"," - Black","","","","","",""
"the-amara-lace-lace-top-corset-black"," - Black","","","","","",""
"the-amara-lace-lace-top-corset-black","The amara lace top corset - Black","Size","XS (4-6)","Color","Black","AMARA-BLACK-CRST-BLK-XS","35.00"
"the-amara-lace-lace-top-corset-black","The amara lace top corset - Black","Size","S (6-8)","Color","Black","AMARA-BLACK-CRST-BLK-S","35.00"
"the-amara-lace-lace-top-corset-black","The amara lace top corset - Black","Size","M (8-10)","Color","Black","AMARA-BLACK-CRST-BLK-M","35.00"
"the-amara-lace-lace-top-corset-black","The amara lace top corset - Black","Size","L (10-12)","Color","Black","AMARA-BLACK-CRST-BLK-L","35.00"
"the-amara-lace-lace-top-corset-black","The amara lace top corset - Black","Size","XL (12-14)","Color","Black","AMARA-BLACK-CRST-BLK-XL","35.00"
"the-amara-lace-lace-top-corset-black"," - Black","","","","","",""
"the-amara-lace-lace-top-corset-black"," - Black","","","","","",""
"the-amara-lace-lace-top-corset-black"," - Black","","","","","",""
"the-amara-lace-lace-top-corset-black"," - Black","","","","","",""
"the-amara-lace-lace-top-corset-black"," - Black","","","","","",""